scenario,true_x,true_y,est_x,est_y,rmse_z_mean,rmse_z_std,degradation_ratio,oracle_rmse,is_oracle,is_conv
A,poisson,bernoulli,gaussian,gaussian,0.3860377932991997,0.171341035675521,1.6640660100101774,0.23198466345505048,False,False
A,poisson,bernoulli,gaussian,bernoulli,0.485487406300081,0.20161296057944333,2.0927564739388447,0.23198466345505048,False,True
A,poisson,bernoulli,gaussian,poisson,0.6916121075839726,0.05768073572337955,2.9812837507595837,0.23198466345505048,False,False
A,poisson,bernoulli,bernoulli,gaussian,0.6096150097257256,0.26391494463709414,2.6278246184314895,0.23198466345505048,False,False
A,poisson,bernoulli,bernoulli,bernoulli,1.0071286074161203,0.07999395064906974,4.3413585726595345,0.23198466345505048,False,False
A,poisson,bernoulli,bernoulli,poisson,0.6663160189250421,0.3043912767161603,2.872241677537222,0.23198466345505048,False,False
A,poisson,bernoulli,poisson,gaussian,0.2664932170004965,0.015558181436005394,1.1487535987573265,0.23198466345505048,False,False
A,poisson,bernoulli,poisson,bernoulli,0.23198466345505048,0.007304146722908002,1.0,0.23198466345505048,True,False
A,poisson,bernoulli,poisson,poisson,0.31532113650803373,0.014186595495853525,1.3592326829360881,0.23198466345505048,False,False
B,gaussian,poisson,gaussian,gaussian,0.37965046702979244,0.19252747115341728,2.6857435188010954,0.1413576778170042,False,False
B,gaussian,poisson,gaussian,bernoulli,1.1031056165010906,0.11383648145565466,7.8036484012500935,0.1413576778170042,False,True
B,gaussian,poisson,gaussian,poisson,0.1413576778170042,0.010329161688398411,1.0,0.1413576778170042,True,False
B,gaussian,poisson,bernoulli,gaussian,0.488217318298401,0.15590952376504028,3.4537729102371566,0.1413576778170042,False,False
B,gaussian,poisson,bernoulli,bernoulli,1.0542429577182266,0.0785381509545323,7.457981582599326,0.1413576778170042,False,False
B,gaussian,poisson,bernoulli,poisson,0.1781835020738313,0.026332253177599074,1.2605152038823124,0.1413576778170042,False,False
B,gaussian,poisson,poisson,gaussian,0.7842589652162317,0.04815060034467976,5.548046468558297,0.1413576778170042,False,False
B,gaussian,poisson,poisson,bernoulli,1.2436057589392358,0.09727560334902112,8.797581978880244,0.1413576778170042,False,False
B,gaussian,poisson,poisson,poisson,0.2383542626174326,0.1066721057839544,1.6861783972285973,0.1413576778170042,False,False
C,bernoulli,gaussian,gaussian,gaussian,0.022784624834683256,0.000889060183151034,0.9824209085568478,0.02319232483371441,False,False
C,bernoulli,gaussian,gaussian,bernoulli,0.6006357080026806,0.19778485296139794,25.898037920266773,0.02319232483371441,False,True
C,bernoulli,gaussian,gaussian,poisson,0.43055151739704733,0.42094496730873593,18.56439664777201,0.02319232483371441,False,False
C,bernoulli,gaussian,bernoulli,gaussian,0.02319232483371441,0.0008206149653173378,1.0,0.02319232483371441,True,False
C,bernoulli,gaussian,bernoulli,bernoulli,0.4482857387118596,0.0077918304655499385,19.32905570812771,0.02319232483371441,False,False
C,bernoulli,gaussian,bernoulli,poisson,0.29857522443815454,0.021747568550447488,12.87388075921217,0.02319232483371441,False,False
C,bernoulli,gaussian,poisson,gaussian,0.023129041717009562,0.0008187928601221465,0.9972713767524999,0.02319232483371441,False,False
C,bernoulli,gaussian,poisson,bernoulli,0.9038190070991353,0.07968870829004064,38.97060831888937,0.02319232483371441,False,False
C,bernoulli,gaussian,poisson,poisson,0.2993875824368146,0.020483079626511424,12.908907778042089,0.02319232483371441,False,False
