scenario,k_est,trial,rmse_Z,rmse_F,rmse_sigma,rmse_Y,rmse_X,w0_err,w_err,BIC,Q_strict
C,1,0,0.7234355643314314,0.632188118661006,0.9000000000000001,0.6447837849558733,0.4744070402492183,0.005574235460238877,0.08313145162508939,5073.50469904266,-2496.66726716856
C,1,1,0.6914403371499886,0.5458794120372804,0.9000000000000001,0.6566721809331058,0.47348424053020993,0.008460375978702646,0.06395644841601711,5420.191062104085,-2670.0104486992727
C,1,2,0.8608396812881002,0.5989876350482699,0.9000000000000001,0.6702673571195247,0.4854316432544133,0.0062457107886970745,0.03599979781362217,5893.432700905439,-2906.6312680999495
C,1,3,1.1858728120407924,0.7046723192783447,0.9000000000000001,0.697121012797625,0.4765520016052933,0.005991430288443622,0.003391210692559543,6726.499169401679,-3323.1645023480696
C,1,4,1.0634238154151276,0.5900273224182736,0.9000000000000001,0.6805703727863719,0.49031302632089463,0.007092992916704386,0.02574685663734022,6361.540302767452,-3140.685069030956
C,1,5,0.8504574403744186,0.5733918701515205,0.9000000000000001,0.6817782374981127,0.4875254880671478,0.00604830115524341,0.01811124859042368,6344.483656917727,-3132.1567461060936
C,1,6,1.114656068739733,0.5904872858963544,0.9000000000000001,0.6908411160510743,0.48044725088741097,0.006828518261197864,0.00781406278661334,6527.988121419009,-3223.9089783567347
C,1,7,0.7380792735417433,0.4122356232801616,0.9000000000000001,0.6528939268537639,0.4891006901140304,0.0056093061411157715,0.06622164153943277,5375.21325358756,-2647.52154444101
C,1,8,0.6889920022550623,0.5169638113374935,0.9000000000000001,0.6851649064631052,0.48149044012212106,0.004769231522297097,0.017779098937620308,6361.0898215687785,-3140.4598284316194
C,1,9,0.9462705239912425,0.5616599263290569,0.9000000000000001,0.6722207231390961,0.4832966661392349,0.006295246875214817,0.041260261118364006,6012.395848353898,-2966.112841824179
C,2,0,0.5179092389538031,0.44645951559758085,0.9000000000000001,0.39607132705912446,0.4590993513479581,0.001777755701171902,0.05110401528273001,-5202.784815588986,2676.551937205937
C,2,1,0.5625938232920138,0.41877229750433786,0.9000000000000001,0.422905326466907,0.46701326469873766,0.004792220951441236,0.03640006081989067,-3618.6979480382142,1884.508503430551
C,2,2,0.8081598836635858,0.39186891707498206,0.9000000000000001,0.4721783827858632,0.4706800120573393,0.0029224473252171547,0.008432700009018967,-1367.3180316567589,758.8185452398233
C,2,3,0.6053232411969514,0.36974380217967545,0.9000000000000001,0.4958514698425512,0.45816181421543695,0.0026931154800343415,0.003491001578547981,-334.695712612887,242.50738571788733
C,2,4,0.6639939604548576,0.4692456871592319,0.9000000000000001,0.45959278500594075,0.47709369309320093,0.003695770106385042,0.017865070096725777,-1776.3465454582272,963.3328021405574
C,2,5,0.6042396628135901,0.5111723790587026,0.9000000000000001,0.47611525986143177,0.4688833116876497,0.0026803555237973602,0.006427541986960161,-1116.6087124371197,633.4638856300037
C,2,6,0.535059206101952,0.2956658387280148,0.9000000000000001,0.48297723947997007,0.46691563173819933,0.003636842165145142,0.0032815723105353856,-892.2220265022584,521.270542662573
C,2,7,0.5719282863646938,0.336083996183921,0.9000000000000001,0.4300564130178811,0.47065203668519934,0.0019935323044282466,0.03101836413287995,-3311.65306782231,1730.9860633225987
C,2,8,0.5423837333116838,0.40063692263218315,0.9000000000000001,0.47100573409928026,0.474531241235344,0.0017053696088831136,0.009776448266502702,-1386.2665630360366,768.2928109294621
C,2,9,0.5247940317476116,0.3807183276581553,0.9000000000000001,0.43700992093229846,0.4674596764606375,0.0035251644873022002,0.029196452865687283,-2978.9779720748206,1564.6485154488541
C,3,0,0.030249197954628885,0.18698532413566465,0.9000000000000001,0.03630779493566547,0.4488353407826393,0.00034275312526075967,0.0003272243208463088,-35659.91923798033,17937.688277813235
C,3,1,0.028970507591299294,0.1826489288978576,0.9000000000000001,0.035383124750581,0.45246119814205005,0.0018535175445266667,7.825803517247376e-05,-35377.878749713884,17796.668033680013
C,3,2,0.028169595370784846,0.1837067286509391,0.9000000000000001,0.03456546590186744,0.45510268748048793,0.0005460891626570191,0.0019109164477823515,-35476.58617487795,17846.021746262046
C,3,3,0.02621713268492567,0.21298549641235898,0.9000000000000001,0.03220362352649641,0.44746931268948736,0.0012558615242974085,0.00017634304801206202,-35764.214616448524,17989.835967047333
C,3,4,0.028263285814768006,0.19921679261736588,0.9000000000000001,0.03436413347984513,0.45994991804259694,0.0008915338954754795,0.00012424565930024833,-35603.915133794086,17909.686225720114
C,3,5,0.027232339240416632,0.22761148383095745,0.9000000000000001,0.0333177531251871,0.44518529384274297,6.370029266067624e-05,0.0003268916077001638,-35839.68673672134,18027.57202718374
C,3,6,0.03091618351533923,0.16974383388312222,0.9000000000000001,0.03785859335532797,0.45518841373406016,6.184282382603842e-05,0.0006667432037923415,-35784.27162806056,17999.86447285335
C,3,7,0.029629524241172746,0.1918152878072913,0.9000000000000001,0.03572624912213774,0.45435660589839616,0.0007071160206311069,0.0011844266356637045,-35620.7927307614,17918.12502420377
C,3,8,0.029200149702692173,0.2303013891905602,0.9000000000000001,0.03578052894030513,0.45245673904833006,0.0014077259081905907,0.0001510759959288399,-35662.952481768356,17939.20489970725
C,3,9,0.028460372620163897,0.1678785097198417,0.9000000000000001,0.03458351449343393,0.45644972465856637,0.00022354537895331525,0.00011056026071520897,-35495.295587037,17855.37645234157
C,4,0,0.14385734163469688,0.4823958545753983,0.9000000000000001,0.03813619451980473,0.4449526323544585,0.0009600049874710414,0.12037066054344492,-35215.6229313613,17745.603936268297
C,4,1,0.6001862304633212,0.7266945735418978,0.9000000000000001,0.039580644255627774,0.4506909799459793,0.001370631459368163,0.12101833175890558,-34888.52096989377,17582.05295553453
C,4,2,0.3208631432857884,0.7642249254977,0.9000000000000001,0.038860883025937966,0.4515761217202329,0.00014448642069660758,0.12191335615533427,-34995.81439869329,17635.699669934293
C,4,3,0.1367226516463,0.3461044170485337,0.9000000000000001,0.040451304982860974,0.4445914320526835,0.00021163351222930712,0.12140266220923523,-35174.57330225784,17725.079121716568
C,4,4,0.5545462401945893,0.9521521789336438,0.9000000000000001,0.03778681565048204,0.4568064726137833,0.0006856367820832945,0.12040849485762689,-35127.25198212606,17701.418461650675
C,4,5,0.4774830306489242,0.7121820777847382,0.9000000000000001,0.038096992430233956,0.4414820796949551,8.677468185943346e-05,0.12214626266428824,-35400.24749707484,17837.916219125065
C,4,6,0.34868112901180076,0.5003865913912439,0.9000000000000001,0.03962928455075893,0.4539895706047889,0.0005746315568712368,0.12150911910280926,-35261.10561736553,17768.345279270412
C,4,7,0.26839863886616766,0.4932481031518525,0.9000000000000001,0.04019962190963932,0.4521342965134894,0.001031607947105656,0.12154773054721035,-35157.81381205142,17716.699376613356
C,4,8,0.24160190909377854,0.7005193929136023,0.9000000000000001,0.03872260864927231,0.4485994682889455,0.001523092727163273,0.12149106376363489,-35188.71276721244,17732.148854193867
C,4,9,0.19700097553117463,0.5790268362439398,0.9000000000000001,0.03830052065726043,0.4517628111491968,0.0003935470985174425,0.12052283701149769,-35035.61863369195,17655.60178743362
C,5,0,0.4901847272045668,0.8649893807741864,0.9000000000000001,0.042253926285123894,0.4411116173891431,0.0010043747484074122,0.19373326426764836,-34728.59337973646,17529.647654573408
C,5,1,0.22841099595166248,0.770035770659542,0.9000000000000001,0.04205012865383689,0.4435842331367952,0.0021959930833696014,0.19355534511229405,-34407.98823411245,17369.3450817614
C,5,2,0.33568391055315666,0.6067107551642709,0.9000000000000001,0.04174506375951834,0.4509763736767757,0.0003830418929453461,0.1948587655432545,-34517.794616970874,17424.248273190613
C,5,3,0.5707266741646482,1.1571660972729494,0.9000000000000001,0.03938637329783322,0.43406334982085726,0.0009163120400936923,0.19344831838153692,-34857.57704112085,17594.1394852656
C,5,4,0.4412375968572306,1.0333373968725659,0.9000000000000001,0.04107409310944899,0.45098996165766814,0.0013413938144378444,0.19323850490728034,-34685.41093236115,17508.05643088575
C,5,5,0.4636992802829519,0.9031202983079747,0.9000000000000001,0.040701689241088176,0.43559452469572524,0.0005696956127874957,0.19457727407870012,-34920.624759827864,17625.663344619108
C,5,6,0.24453763722448724,0.6177088987736087,0.9000000000000001,0.04314078803148689,0.45047972422885263,1.853945063277874e-05,0.19484063828943848,-34773.46948222559,17552.08570581797
C,5,7,0.3161112396724957,0.7527771994966532,0.9000000000000001,0.04319980611095744,0.4450526637785924,0.0008654643223523965,0.19369870969831865,-34714.23910109836,17522.470515254357
C,5,8,0.39110162107472085,0.5458976521561585,0.9000000000000001,0.03982006740059114,0.4499044922593671,0.0019364368877752974,0.19454873263349803,-34704.45033623764,17517.576132823997
C,5,9,0.4985114975560424,1.2575961652504706,0.9000000000000001,0.039732725699709835,0.4457825830432779,2.3493138199231708e-05,0.19388735135113327,-34542.70630868598,17436.704119048165
C,6,0,0.4679686049897319,0.862551718066394,0.9000000000000001,0.04498739559769399,0.4359834980341024,0.0005433657986352956,0.24192746739724708,-34286.7383633064,17333.77332282886
C,6,1,0.630464803053086,0.9761782616742289,0.9000000000000001,0.04485822661596678,0.44342903803437267,0.0017451340027507872,0.24227773275277265,-33848.019884203044,17114.41408327718
C,6,2,0.49794168667469374,0.6036145905652542,0.9000000000000001,0.04383874174896179,0.4495708813329468,0.00023430845903339655,0.24303732032378245,-34042.6359803412,17211.722131346258
C,6,3,0.43534724753757603,1.021333535235833,0.9000000000000001,0.04518462217182793,0.4294709636134619,0.0005733355662556402,0.24183518047598934,-34333.15660869406,17356.982445522688
C,6,4,0.6187226398813748,0.9080849561887784,0.9000000000000001,0.04597772034519373,0.4439187228810671,0.0010680209496084876,0.24217729343539568,-34182.14328269761,17281.475782524463
C,6,5,0.5113368672755656,0.9283332240614882,0.9000000000000001,0.04465154235787397,0.43256043509108766,0.0008619196890603871,0.2429274822971772,-34477.986262989056,17429.397272670187
C,6,6,0.5088194239151899,0.7342935977108845,0.9000000000000001,0.04423276357251228,0.44640736840314876,0.0006744412916488141,0.24304260365446567,-34310.32637242115,17345.567327386234
C,6,7,0.5541656816283098,0.9854311149479618,0.9000000000000001,0.04372975966679137,0.44444226096775574,0.0011815544836324592,0.24212349162617025,-34291.660215965,17336.23424915816
C,6,8,0.30889904014991604,0.6900006021592993,0.9000000000000001,0.045092685437491495,0.4459481069965285,0.0020313972187136456,0.24189062452707988,-34242.80597172383,17311.807127037573
C,6,9,0.3920221445537595,0.8824569805543615,0.9000000000000001,0.04563412730672596,0.44095366874772407,0.0006129923976934138,0.24203928495835236,-34040.443720338364,17210.62600134484
