rmse_Z,rmse_F,rmse_sigma,rmse_Y,rmse_X,w0_err,w_err,n,trial
0.17618173377959334,0.08566067159496117,0.028319211089519982,0.6482037723163964,0.28305090496607277,0.07016138302293588,0.03759733172591406,50,0
0.19812632394556165,0.08033009054980769,0.027280722609658314,0.8946313436202767,0.3048294677858034,0.043263919163926086,0.027533965354418433,50,1
0.1999488799637936,0.03434941242751439,0.03437118417589022,0.5237442096468896,0.3259092129746144,0.04364939113692549,0.008694355182005231,50,2
0.19954258941199599,0.08935640004915547,0.02419664385743474,0.7878302898176391,0.29642399797074703,0.044969153312647205,0.004623044910798013,50,3
0.17930945122290068,0.05192893978222112,0.02713249049877145,0.5216698022002367,0.29098926844645223,5.433285744825642e-05,0.001123303372628004,50,4
0.17419409254103924,0.060170066943967905,0.019673424938727598,0.4834924482049918,0.30895743142528675,0.011656774231882888,0.02082352844211871,50,5
0.19306784270838856,0.04516567556774174,0.02371365624495187,0.4964641438443576,0.2945496051304383,0.06859789063690398,0.03882084631696803,50,6
0.17978832439497094,0.05037990287190875,0.02414163644012833,0.5421846813171127,0.29486269494327594,0.07171470548191262,0.014754840846063044,50,7
0.18376275716403154,0.0571432773354014,0.031240884700402732,0.5186211167583983,0.3140559014851993,0.06455682529864722,0.02975219942589724,50,8
0.21727849631484775,0.05437922563140412,0.023619824723112675,0.5935165776067645,0.295908016113749,0.0023635275153684335,0.0006699504848164395,50,9
0.17067080966528825,0.035922566153348066,0.01767026574742619,0.633941760748541,0.30532109718156236,0.03664249611067552,0.013142677331123398,100,0
0.40401092795133814,0.6082978995990301,0.016416635653540117,1.4751245738804741,0.30936010686902093,0.1949617646993432,0.18451157343746016,100,1
0.16426742619167298,0.027900435792689696,0.01858608781508563,0.7043344385560859,0.30405666745611865,0.0401881599625162,0.009801903242255217,100,2
0.171464515386057,0.044925896697519396,0.02030176113346907,0.7186574525799418,0.2924171828006124,0.009792291148039638,0.007021255401648552,100,3
0.1782706112292118,0.024343985293076,0.013945195715734476,0.5535366414622881,0.2995124917433881,0.02341431406461977,0.026307542196855438,100,4
0.16892458151568432,0.03703845438160796,0.018169646557040457,0.4713001601453042,0.2956766055641662,0.032987352420155186,0.015113789535771638,100,5
0.15304583068231817,0.04048274672809038,0.018602506472563618,0.6033139539711843,0.3129265238161033,0.024833756294942153,0.013501131982789738,100,6
0.17283690896170617,0.06295297409559812,0.0234984625575161,0.7898377512488689,0.31689071218599474,0.028502466630179704,0.023177423595907187,100,7
0.17213914430566016,0.03362229689082423,0.02294045865642196,0.6584312001541573,0.3184770158608551,0.013632213359667833,0.005514646413347368,100,8
0.15839457280443806,0.03229717941264321,0.016317518040719046,0.6074188228054306,0.3032623025306169,0.03728002671493565,0.006894458173629658,100,9
0.16448222059427123,0.02388988866548705,0.012131823931475275,0.7602989619714347,0.3069705193670743,0.016875057483333584,0.006903253601553305,150,0
0.15538473701759156,0.023954211032729378,0.01244781097196185,0.5681478013929632,0.30959005144483026,0.005494075670053865,0.006627021542038258,150,1
0.1547861222072265,0.03381877228143724,0.015193188198428074,0.46578887569055366,0.31015069486401897,0.0096460780669228,0.0022310812426517,150,2
0.16063084515907766,0.029021705618159453,0.019414010941603683,0.6909490720767838,0.3045991381436307,0.032176194590218206,0.013407335583228763,150,3
0.2594076420907628,0.169515022990445,0.016446513746383278,1.1644184651200058,0.30981502122189897,0.12603393923461284,0.09934045191420926,150,4
0.15992371298122232,0.023449301407705198,0.01386582439573257,0.5821875939453621,0.30976873538209065,0.009017115662531255,0.0032791055974488725,150,5
0.15358649248607606,0.023489024194270305,0.012701188662049528,0.5804978156875666,0.30542807320409315,0.006934876728621029,0.007819290235332399,150,6
0.15903060056304633,0.023701791456490547,0.01683887240808517,0.5340623324609807,0.30601372335017113,0.0005412461526006074,0.0003981058955392358,150,7
0.17915428979974854,0.07217702036013342,0.012184482298568455,0.7572727044095718,0.307601840976744,0.08204881169682285,0.04377428407261946,150,8
0.15652653049866458,0.021844805176197746,0.016488887119226765,0.5142400744503807,0.3083847214098206,0.01324798142599615,0.002381980506273862,150,9
0.14294816379402314,0.02555898105813736,0.013640174446052181,0.5210875399094116,0.302903677027897,0.030161790432126166,0.009551019918993209,200,0
0.14738614513210965,0.028609594152141704,0.014858528714240708,0.5186439257498641,0.3065584235695581,0.054037186368434055,0.01830959834935214,200,1
0.3064090933423811,0.2806097374363515,0.013799107523517866,1.2951814039628466,0.3060027697231519,0.1340618540344789,0.12137993306693412,200,2
0.14494955135230417,0.018541833992508243,0.00918991601891994,0.5068358353637216,0.31200386365446603,0.018946291477402663,0.0074264026824645835,200,3
0.1453834334800882,0.027398116334858242,0.015134164066524524,0.47223934145539126,0.3130766414108898,0.026225003314368948,0.010631402211428831,200,4
0.20610567428913523,0.10525902758015794,0.015227919257614688,0.8192066064935258,0.3122165977273585,0.11243438591383076,0.07495021468458235,200,5
0.14932152252857225,0.029090468923005833,0.010784026294632537,0.4899140869386013,0.3124920303088045,0.006878470793005096,0.008369812618120198,200,6
0.14371853304462548,0.023609129633598472,0.01261021122452888,0.48485191124058885,0.30439505937043765,0.011469061626003146,0.0019325167070151084,200,7
0.1438959220611944,0.0326662386116899,0.017712601777235087,0.5026904645420267,0.3051477214178732,0.02450060220982772,0.007806427209407052,200,8
0.15237262475996177,0.022697374719803175,0.011602647332616711,0.4856112172659521,0.3054566319149607,0.029352083016287073,0.01054503040377891,200,9
0.1388646138713639,0.01914815359478078,0.011298151305880693,0.4945365779842404,0.3063362785735375,0.03600793809630738,0.015242841834996301,250,0
0.13780117483536022,0.01808864476559928,0.012888924919087627,0.4844739322502096,0.3133771695268132,0.01690933522824984,0.006889244854912824,250,1
0.13393128833987636,0.028474940564009434,0.015689797873203255,0.6343804909187141,0.31560355467340284,0.01801327620666629,0.0062172636290731,250,2
0.12743215054066237,0.027500322350206878,0.011224479491691145,0.44584439250224744,0.30980207475569116,0.029672126358809024,0.012610600398174354,250,3
0.14260319681472322,0.02439411429297058,0.009287938353700308,0.6093579280066814,0.30973291033801964,0.06895442840813716,0.024933281849492728,250,4
0.13079289535222272,0.025683859917013965,0.011610686767376643,0.5551337355413561,0.31814404753004666,0.020769025672065445,0.0092848159984108,250,5
0.13571217182206546,0.02838435932999283,0.011497394389399998,0.5389914829710324,0.3056785564248796,0.014376987940772011,0.007230910751672648,250,6
0.13330971906342035,0.01991460986590941,0.012058242407535572,0.5051766984558967,0.30411844887537376,0.009754516731758705,0.0054900090366439835,250,7
0.13642712104189267,0.024762855191992526,0.014320157924149143,0.5664899395458369,0.3073229952300276,0.013377115615025522,0.0054270758862910995,250,8
0.13508253570881043,0.022193969619757135,0.007519453361643903,0.46640185538492035,0.3094687747562117,0.017617794281960857,0.00611293684893971,250,9
0.13842625052028362,0.051556390009866566,0.007404991267545338,0.5822976747659829,0.3108190982819605,0.06447332527977544,0.0323901730446059,300,0
0.13127005880004308,0.020934549883636442,0.007509618478005587,0.5224236863985522,0.3098908905728,0.014349569397197413,0.004507289013645888,300,1
0.12320669059096599,0.02242598943238499,0.009917320978106284,0.4697864104457542,0.3029078834107805,0.01689526669037547,0.007916342737250504,300,2
0.1328358370507446,0.029580088143943768,0.01846725598412344,0.5194288002760903,0.31945121303641894,0.038525302487128696,0.011996513681040433,300,3
0.1350700932527202,0.021558268480498046,0.00939908664552325,0.5098676075107114,0.31258629241069213,0.03760747326247877,0.019184789369891708,300,4
0.1275064635666117,0.026828781824170082,0.013646414881426589,0.4465140627372784,0.30492850839519375,0.011549361011707204,0.004288272298132723,300,5
0.12897374997215477,0.014397626121754157,0.010207149890680396,0.5646202626979536,0.307563253160007,0.03620361523396062,0.013270337779554109,300,6
0.13214279737066867,0.01584576575152101,0.007095100977057234,0.47563732579811896,0.31640184743220345,0.013274503229808172,0.0068036384532284555,300,7
0.13475016969480103,0.01927043811876397,0.008940657300701921,0.45996321730003736,0.3030338797660729,0.016708272298070738,0.00662507001534568,300,8
0.1275445787164094,0.018354527334230153,0.006110144529012719,0.43764241701639894,0.31059800584816233,0.020289731863642014,0.007350379966192144,300,9
