scenario,trial,best_k_by_trial_bic,k_true,selected_correctly,best_bic,note
A,0,3,3,True,16726.87993825399,"fixed_official k1to9, best k per trial"
A,1,3,3,True,16327.671145587705,"fixed_official k1to9, best k per trial"
A,2,3,3,True,16323.752133500831,"fixed_official k1to9, best k per trial"
A,3,3,3,True,16497.311260395494,"fixed_official k1to9, best k per trial"
A,4,3,3,True,16734.144859164677,"fixed_official k1to9, best k per trial"
A,5,3,3,True,16583.119715320587,"fixed_official k1to9, best k per trial"
A,6,3,3,True,16393.85551352408,"fixed_official k1to9, best k per trial"
A,7,3,3,True,16130.155084453772,"fixed_official k1to9, best k per trial"
A,8,3,3,True,16456.37898916449,"fixed_official k1to9, best k per trial"
A,9,3,3,True,16422.89202281296,"fixed_official k1to9, best k per trial"
B,0,3,3,True,32183.234581356348,"fixed_official k1to9, best k per trial"
B,1,3,3,True,32429.595707451044,"fixed_official k1to9, best k per trial"
B,2,3,3,True,31961.47997372102,"fixed_official k1to9, best k per trial"
B,3,3,3,True,32312.212527966632,"fixed_official k1to9, best k per trial"
B,4,3,3,True,32007.77254499225,"fixed_official k1to9, best k per trial"
B,5,3,3,True,32135.384515751728,"fixed_official k1to9, best k per trial"
B,6,3,3,True,32191.88190355691,"fixed_official k1to9, best k per trial"
B,7,3,3,True,32383.23778757801,"fixed_official k1to9, best k per trial"
B,8,3,3,True,32280.8604646938,"fixed_official k1to9, best k per trial"
B,9,3,3,True,32354.543924658843,"fixed_official k1to9, best k per trial"
C,0,3,3,True,-36047.504334639496,"fixed_official k1to9, best k per trial"
C,1,3,3,True,-36479.07632255668,"fixed_official k1to9, best k per trial"
C,2,3,3,True,-36317.82121222538,"fixed_official k1to9, best k per trial"
C,3,3,3,True,-35992.854881673615,"fixed_official k1to9, best k per trial"
C,4,3,3,True,-36465.24735154393,"fixed_official k1to9, best k per trial"
C,5,3,3,True,-36157.99483325952,"fixed_official k1to9, best k per trial"
C,6,3,3,True,-35947.55936745339,"fixed_official k1to9, best k per trial"
C,7,3,3,True,-36425.2308440027,"fixed_official k1to9, best k per trial"
C,8,3,3,True,-36336.09399848149,"fixed_official k1to9, best k per trial"
C,9,3,3,True,-36114.474736431584,"fixed_official k1to9, best k per trial"
