model,scenario,k_est,k_true,n_trials,rmse_Z_mean,rmse_Z_std,rmse_F_mean,rmse_F_std,rmse_Y_mean,rmse_Y_std,rmse_X_mean,rmse_X_std,rmse_sigma_mean,rmse_sigma_std,w0_err_mean,w0_err_std,w_err_mean,w_err_std,BIC_mean,BIC_std
baseline,Control_Gauss_Bern,1,3,5,0.92066,0.32362,0.46596,0.18729,0.25949,0.01295,0.75295,0.0594,0.55692,0.07955,0.32395,0.03974,0.46929,0.14843,18117.18033,626.62881
baseline,Control_Gauss_Bern,2,3,5,0.66077,0.11003,0.31018,0.07103,0.19101,0.01312,0.52379,0.05825,0.27596,0.0822,0.19866,0.05523,0.29907,0.10276,15053.83061,619.42824
baseline,Control_Gauss_Bern,3,3,5,0.17934,0.01436,0.03969,0.01142,0.08806,0.00821,0.30686,0.00558,0.01594,0.00311,0.05991,0.01623,0.08284,0.0397,11914.63473,220.72588
baseline,Control_Gauss_Bern,4,3,5,0.54605,0.16209,0.24539,0.08607,0.1053,0.00463,0.30329,0.00783,0.01632,0.00319,0.05441,0.01776,0.36516,0.02344,12383.87242,202.29184
baseline,Control_Gauss_Bern,5,3,5,0.67377,0.04875,0.31431,0.02968,0.11378,0.00558,0.30259,0.0074,0.01685,0.00295,0.04796,0.02313,0.53654,0.02164,12817.5671,211.12569
baseline,Control_Gauss_Bern,6,3,5,0.67666,0.14413,0.31119,0.08119,0.125,0.00295,0.29802,0.00385,0.01682,0.00232,0.05501,0.02299,0.66936,0.01902,13291.11404,213.61327
dual_expfam,Control_Gauss_Bern,1,3,5,0.91724,0.31959,0.46855,0.18843,0.25974,0.01326,0.75329,0.05972,0.55716,0.07981,0.32295,0.04079,0.47406,0.14591,18140.77874,635.33431
dual_expfam,Control_Gauss_Bern,2,3,5,0.66194,0.112,0.3118,0.07125,0.19213,0.01367,0.52485,0.05845,0.27611,0.08231,0.19917,0.05688,0.30322,0.10357,15105.13286,624.53134
dual_expfam,Control_Gauss_Bern,3,3,5,0.17988,0.0155,0.03509,0.00616,0.08771,0.00749,0.30742,0.00489,0.01599,0.00317,0.05675,0.0151,0.07943,0.03849,11948.76424,209.6828
dual_expfam,Control_Gauss_Bern,4,3,5,0.54579,0.16145,0.24792,0.08757,0.10411,0.00529,0.30355,0.00816,0.01639,0.00315,0.05211,0.02266,0.36686,0.02518,12397.25004,196.73214
dual_expfam,Control_Gauss_Bern,5,3,5,0.67889,0.05926,0.31402,0.03025,0.11453,0.00607,0.30161,0.00708,0.01709,0.00352,0.05018,0.02267,0.53847,0.00958,12848.3701,201.19835
dual_expfam,Control_Gauss_Bern,6,3,5,0.65304,0.1441,0.30619,0.08411,0.12592,0.00295,0.29758,0.00507,0.0175,0.00216,0.05286,0.02976,0.66195,0.01497,13294.73553,204.6488
